cliente_id,channel_id,region
245478958,870267989,GBA MINORISTAS
-1567834282,1759010777,GBA MINORISTAS
1651982596,1625004744,CENTRAL
-1008971008,1625004744,CENTRAL
-1666634362,870267989,GBA MINORISTAS
-4724598,1625004744,GBA MINORISTAS
945621777,1625004744,GBA MINORISTAS
-132485592,870267989,CENTRAL
1948896354,-1756013582,GBA MINORISTAS
-229412134,1625004744,GBA MINORISTAS
-1068301315,1625004744,CENTRAL
-374521018,1625004744,CENTRAL
-1519782679,870267989,GBA MINORISTAS
1672241341,1625004744,GBA MINORISTAS
516672047,1625004744,CENTRAL
605175683,1625004744,GBA MINORISTAS
-1315428817,1759010777,GBA MINORISTAS
-671839087,1625004744,CENTRAL
632727825,1625004744,CENTRAL
-293083350,1625004744,CENTRAL
-2010035999,870267989,CENTRAL
-2038122188,870267989,CENTRAL
-2095757657,870267989,CENTRAL
1399581228,870267989,CENTRAL
-1497183253,1625004744,CENTRAL
2095497634,1759010777,CENTRAL
492577125,1625004744,CENTRAL
-1319486146,1625004744,CENTRAL
351890944,870267989,GBA MINORISTAS
222877838,1625004744,CENTRAL
-1386061719,1625004744,GBA MINORISTAS
1623997789,1625004744,CENTRAL
556080534,1625004744,CENTRAL
-626549145,1625004744,GBA MINORISTAS
-4412729,870267989,GBA MINORISTAS
1940474533,870267989,GBA MINORISTAS
607741813,1625004744,GBA MINORISTAS
-1087310820,1625004744,CENTRAL
-1354867368,870267989,GBA MINORISTAS
1278472204,-1756013582,CENTRAL
186858950,1759010777,GBA MINORISTAS
-1203180158,1625004744,CENTRAL
528793804,-1756013582,CENTRAL
116069293,1625004744,CENTRAL
775096282,1625004744,CENTRAL
-1275740345,870267989,GBA MINORISTAS
1506946349,1625004744,CENTRAL
701219401,1625004744,GBA MINORISTAS
-902052897,1625004744,CENTRAL
-1304574965,1625004744,CENTRAL
-1427130347,-1756013582,GBA MINORISTAS
648335146,1625004744,CENTRAL
132398838,870267989,GBA MINORISTAS
-2053556715,541481139,GBA MINORISTAS
1551070995,1625004744,GBA MINORISTAS
-1593504264,1625004744,CENTRAL
-1189832684,1625004744,CENTRAL
1586717060,870267989,GBA MINORISTAS
1928661341,1625004744,GBA MINORISTAS
1783033647,870267989,GBA MINORISTAS
789249499,1625004744,CENTRAL
136141487,1759010777,GBA MINORISTAS
557224210,1625004744,GBA MINORISTAS
731374433,1625004744,CENTRAL
947562924,651275377,GBA MINORISTAS
-586945771,1625004744,CENTRAL
-737035762,1625004744,CENTRAL
1065350195,1625004744,GBA MINORISTAS
304273854,870267989,GBA MINORISTAS
-1970986690,1625004744,CENTRAL
-1550531497,541481139,GBA MINORISTAS
1162738605,1625004744,GBA MINORISTAS
-836437842,870267989,GBA MINORISTAS
-1880666867,1625004744,GBA MINORISTAS
2004226342,1625004744,GBA MINORISTAS
-1323201759,1625004744,GBA MINORISTAS
1240444799,1625004744,GBA MINORISTAS
-1346752573,-1745483062,GBA MINORISTAS
1171494058,1625004744,CENTRAL
1999757297,1625004744,CENTRAL
-1705271077,870267989,GBA MINORISTAS
-2062230425,1759010777,CENTRAL
-873055018,870267989,CENTRAL
-1565439633,870267989,GBA MINORISTAS
-1092877415,1625004744,CENTRAL
-1372943906,1759010777,CENTRAL
-2106525155,870267989,CENTRAL
-1925345493,870267989,CENTRAL
-840560731,1625004744,CENTRAL
-232372714,1625004744,GBA MINORISTAS
88863085,870267989,GBA MINORISTAS
1427033383,1625004744,GBA MINORISTAS
925579999,1625004744,GBA MINORISTAS
2078568906,870267989,GBA MINORISTAS
-2124479654,1625004744,CENTRAL
1222306243,1625004744,CENTRAL
-899277518,1625004744,CENTRAL
-877186540,1625004744,CENTRAL
-205532499,1625004744,CENTRAL
-1652371213,870267989,CENTRAL
-193440621,1625004744,CENTRAL
425447641,1625004744,CENTRAL
-2084997472,1625004744,CENTRAL
-2027445187,1625004744,CENTRAL
1777562674,1625004744,CENTRAL
204530489,870267989,CENTRAL
-944328244,-1756013582,CENTRAL
213663412,1759010777,GBA MINORISTAS
730852609,1625004744,CENTRAL
-2098802182,870267989,CENTRAL
55664959,1625004744,CENTRAL
1182484030,870267989,CENTRAL
-1816513974,1625004744,CENTRAL
986973988,1625004744,CENTRAL
226762253,1625004744,CENTRAL
-1720359724,1625004744,CENTRAL
2089031499,1059805429,CENTRAL
1327294999,1625004744,CENTRAL
10953292,870267989,GBA MINORISTAS
-2147000775,1625004744,CENTRAL
360504615,-635186254,CENTRAL
-1811662523,1625004744,CENTRAL
-301363688,870267989,GBA MINORISTAS
307102997,1625004744,GBA MINORISTAS
1452008548,1759010777,GBA MINORISTAS
1612888771,1625004744,GBA MINORISTAS
-1825156145,1625004744,CENTRAL
-173442004,870267989,CENTRAL
618423561,1625004744,CENTRAL
-1766561941,1625004744,CENTRAL
1146504629,1625004744,CENTRAL
-1331810955,1625004744,CENTRAL
-2032891019,870267989,CENTRAL
-1590084536,870267989,CENTRAL
-969621204,1625004744,CENTRAL
-1838413421,870267989,CENTRAL
724510053,870267989,CENTRAL
1791046904,1625004744,CENTRAL
-1420253600,-1756013582,CENTRAL
-1899868833,1625004744,CENTRAL
-433304413,870267989,CENTRAL
-901900315,1625004744,CENTRAL
-540470747,1625004744,CENTRAL
-162909329,1759010777,CENTRAL
550859401,870267989,CENTRAL
607116007,1759010777,CENTRAL
393963055,870267989,CENTRAL
1569624112,1625004744,CENTRAL
656991680,1625004744,CENTRAL
740892947,870267989,CENTRAL
1698185842,1625004744,CENTRAL
798091740,1625004744,CENTRAL
717732610,1625004744,CENTRAL
357084182,870267989,GBA MINORISTAS
470036506,-1756013582,GBA MINORISTAS
732881573,1625004744,CENTRAL
-1636412299,1625004744,CENTRAL
24795928,870267989,CENTRAL
1903430482,1625004744,CENTRAL
1786309171,1625004744,GBA MINORISTAS
-351864681,870267989,CENTRAL
1647525547,1625004744,CENTRAL
-1818062221,1625004744,CENTRAL
1310082565,1625004744,CENTRAL
-972400455,1625004744,CENTRAL
-1895798541,1625004744,CENTRAL
850492860,1625004744,CENTRAL
-1202494839,1625004744,CENTRAL
-1239188424,1625004744,CENTRAL
1336600939,870267989,GBA MINORISTAS
-1003915147,1759010777,GBA MINORISTAS
1216078070,1625004744,GBA MINORISTAS
-294077581,1625004744,CENTRAL
1431871171,1625004744,CENTRAL
5309159,1625004744,CENTRAL
772351219,1625004744,CENTRAL
-1860916176,1625004744,CENTRAL
1341923831,1625004744,CENTRAL
-74201734,1625004744,CENTRAL
-232856295,1625004744,CENTRAL
372625988,1759010777,GBA MINORISTAS
-981253466,1625004744,GBA MINORISTAS
1068804995,1625004744,CENTRAL
136656065,1625004744,CENTRAL
810951828,1625004744,CENTRAL
278614276,1625004744,CENTRAL
-347358789,1625004744,CENTRAL
-217918190,1625004744,CENTRAL
-1669763350,1625004744,CENTRAL
-926058712,1625004744,CENTRAL
-863866566,1625004744,CENTRAL
-1124632054,1625004744,CENTRAL
872375101,870267989,CENTRAL
-1678122854,1625004744,CENTRAL
-1740851470,1759010777,CENTRAL
162217988,1759010777,CENTRAL
2058988266,1625004744,CENTRAL
-2058644461,1625004744,CENTRAL
847108885,1625004744,CENTRAL
476245549,1625004744,CENTRAL
1050619001,1625004744,CENTRAL
-1279949978,1625004744,CENTRAL
-2028487878,1625004744,CENTRAL
757043335,870267989,CENTRAL
1172368536,1625004744,CENTRAL
-1507324209,1759010777,CENTRAL
178490214,1625004744,CENTRAL
-648246455,1625004744,CENTRAL
249156736,870267989,CENTRAL
1007720569,1625004744,CENTRAL
374388814,1625004744,CENTRAL
498415005,870267989,CENTRAL
-1995519179,1625004744,CENTRAL
-547360639,-2071733625,CENTRAL
-923550068,1625004744,CENTRAL
-1499778037,870267989,CENTRAL
-489879501,1625004744,CENTRAL
-1196165253,1625004744,CENTRAL
334226321,1625004744,CENTRAL
219739222,1759010777,CENTRAL
-862465406,1625004744,CENTRAL
-202522054,1625004744,CENTRAL
-1096610619,1625004744,CENTRAL
-1401164656,1625004744,CENTRAL
1310598063,1625004744,CENTRAL
1102281314,1625004744,CENTRAL
1576318404,1625004744,CENTRAL
-440953124,870267989,CENTRAL
-277759112,1625004744,CENTRAL
-1996854095,1625004744,CENTRAL
1058186040,1625004744,CENTRAL
-318114055,1625004744,CENTRAL
1697006347,870267989,CENTRAL
1750041634,870267989,CENTRAL
-489654346,870267989,CENTRAL
483940557,1625004744,CENTRAL
429518956,870267989,CENTRAL
-338150641,870267989,CENTRAL
-1734363623,870267989,CENTRAL
1434665164,1625004744,CENTRAL
776054777,1625004744,CENTRAL
437438730,1759010777,CENTRAL
1584284524,1625004744,CENTRAL
514023491,1625004744,CENTRAL
384700248,1625004744,CENTRAL
1917309059,1625004744,CENTRAL
560011611,1625004744,CENTRAL
-1812751291,870267989,CENTRAL
870300678,1625004744,CENTRAL
1273781153,1625004744,CENTRAL
152215644,1625004744,CENTRAL
-218163038,870267989,CENTRAL
-1046761914,1625004744,CENTRAL
-1904819040,870267989,CENTRAL
-847309428,870267989,CENTRAL
210012747,1625004744,CENTRAL
-1298109128,1625004744,CENTRAL
